scheduled_unix_nanos,sent_unix_nanos,done_unix_nanos,latency_ns,scheduler_lag_ns,status,body_bytes,conn_reused,conn_was_idle,dial_count,wrote_request,failure_class,error_text
1785416832423059844,1785416832423090098,1785416832426354179,3294327,30356,0,0,false,false,1,true,peer_reset,"Post ""http://127.0.0.1:8080/json/medium/decode"": read tcp 127.0.0.1:49378->127.0.0.1:8080: read: connection reset by peer"
1785416832423009844,1785416832423018465,1785416832426388563,3378711,8624,0,0,false,false,1,true,peer_reset,"Post ""http://127.0.0.1:8080/json/medium/decode"": read tcp 127.0.0.1:49374->127.0.0.1:8080: read: connection reset by peer"
1785416832423409844,1785416832423456098,1785416832426398430,2988577,46245,0,0,true,false,1,true,peer_reset,"Post ""http://127.0.0.1:8080/json/medium/decode"": read tcp 127.0.0.1:49364->127.0.0.1:8080: read: connection reset by peer"
1785416832423509844,1785416832423549298,1785416832426407347,2897505,39456,0,0,true,false,0,true,peer_reset,"Post ""http://127.0.0.1:8080/json/medium/decode"": read tcp 127.0.0.1:49348->127.0.0.1:8080: read: connection reset by peer"
1785416832424309844,1785416832424344925,1785416832426501310,2191467,35074,0,0,true,false,0,true,peer_reset,"Post ""http://127.0.0.1:8080/json/medium/decode"": read tcp 127.0.0.1:49538->127.0.0.1:8080: read: connection reset by peer"
1785416832424209844,1785416832424233982,1785416832426510695,2300841,24130,0,0,true,false,1,true,peer_reset,"Post ""http://127.0.0.1:8080/json/medium/decode"": read tcp 127.0.0.1:49536->127.0.0.1:8080: read: connection reset by peer"
1785416832423909844,1785416832423933731,1785416832426502379,2592528,23887,0,0,true,false,1,true,peer_reset,"Post ""http://127.0.0.1:8080/json/medium/decode"": read tcp 127.0.0.1:49472->127.0.0.1:8080: read: connection reset by peer"
1785416832424159844,1785416832424178256,1785416832426522944,2363101,18400,0,0,true,false,1,true,peer_reset,"Post ""http://127.0.0.1:8080/json/medium/decode"": read tcp 127.0.0.1:49534->127.0.0.1:8080: read: connection reset by peer"
1785416832423459844,1785416832423466799,1785416832426528080,3068234,6943,0,0,false,false,1,true,peer_reset,"Post ""http://127.0.0.1:8080/json/medium/decode"": read tcp 127.0.0.1:49456->127.0.0.1:8080: read: connection reset by peer"
1785416832423959844,1785416832423971130,1785416832426531309,2571457,11286,0,0,true,false,1,true,peer_reset,"Post ""http://127.0.0.1:8080/json/medium/decode"": read tcp 127.0.0.1:49526->127.0.0.1:8080: read: connection reset by peer"
