scheduled_unix_nanos,sent_unix_nanos,done_unix_nanos,latency_ns,scheduler_lag_ns,status,body_bytes,conn_reused,conn_was_idle,dial_count,wrote_request,failure_class,error_text
1785412606569738272,1785412606571294897,1785412606571570781,1832501,1556630,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785412606570404939,1785412606571406292,1785412606571601792,1196861,1001354,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785412744512404939,1785412744513359440,1785412744513533716,1128812,954502,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785412744511738272,1785412744513230920,1785412744513599620,1861343,1492642,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785412831716404939,1785412831716418879,1785412831716622038,217100,13928,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785412835783071605,1785412835784919489,1785412835785268738,2197132,1847876,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785412835782404939,1785412835784803142,1785412835785325722,2920780,2398199,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785412852893738272,1785412852897745317,1785412852898367157,4628887,4007051,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785412859455071605,1785412859456187551,1785412859456405863,1334271,1115947,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785412967374404939,1785412967377515551,1785412967377771026,3366088,3110613,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785413109700404939,1785413109700416931,1785413109700624901,220021,11993,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785413135435071605,1785413135436346286,1785413135436576869,1505256,1274684,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785413135436404939,1785413135436414795,1785413135436607511,202568,10033,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785413135434404939,1785413135436242682,1785413135436652097,2247156,1837732,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785413135452404939,1785413135453293497,1785413135453433721,1028773,888560,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785413135451738272,1785413135453203994,1785413135453483512,1745227,1465722,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785413250436404939,1785413250437220199,1785413250437427012,1022076,815264,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785413273436404939,1785413273437178522,1785413273437405282,1000343,773586,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785413280964404939,1785413280965206410,1785413280965466740,1061801,801462,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785413296505071605,1785413296506112648,1785413296506358689,1287090,1041035,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785413296506404939,1785413296506654224,1785413296507015434,610490,249290,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785413306623738272,1785413306627420905,1785413306627683588,3945316,3682621,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785413329249071605,1785413329253876517,1785413329254115764,5044162,4804918,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785413374496404939,1785413374499833872,1785413374500147861,3742930,3428924,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
