sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
0,2026-07-30T11:54:50Z,1785412490437282741,0,4160,4160,5,14,0,324691767,200,196,196,448255600,358142
1,2026-07-30T11:54:51Z,1785412491474372793,1,4192,4192,5,15,0,324692592,200,196,196,448255600,358142
2,2026-07-30T11:54:52Z,1785412492503032813,2,4572,4572,5,74,28,324693415,200,196,196,448255600,358142
3,2026-07-30T11:54:53Z,1785412493532248487,3,4684,4684,5,77,91,324694211,200,196,196,448255600,358142
4,2026-07-30T11:54:54Z,1785412494564735915,4,5632,5632,5,83,238,324694988,200,196,196,448255600,358142
5,2026-07-30T11:54:55Z,1785412495597233850,5,5956,5956,5,84,402,324695756,200,196,196,448255600,358142
6,2026-07-30T11:54:56Z,1785412496629875492,6,5968,5968,5,86,571,324696540,200,196,196,448255600,358152
7,2026-07-30T11:54:57Z,1785412497660968794,7,5968,6000,5,86,743,324697328,200,196,196,448255600,358157
8,2026-07-30T11:54:58Z,1785412498692860357,8,5996,5968,5,86,912,324698104,200,196,196,448255600,358166
9,2026-07-30T11:54:59Z,1785412499724842501,9,5968,5968,5,86,1082,324698886,200,196,196,448255600,358174
10,2026-07-30T11:55:00Z,1785412500757297282,10,5968,5968,5,86,1252,324699672,200,196,196,448255600,358182
11,2026-07-30T11:55:01Z,1785412501790627832,11,5968,5968,5,86,1423,324700453,200,196,196,448255600,358190
12,2026-07-30T11:55:02Z,1785412502823666022,12,5968,5968,5,86,1594,324701234,200,196,196,448255600,358195
13,2026-07-30T11:55:03Z,1785412503856823993,13,5972,5972,5,86,1764,324702018,200,196,196,448255600,358201
14,2026-07-30T11:55:04Z,1785412504888552413,14,5976,5976,5,86,1934,324702802,200,196,196,448255600,358205
15,2026-07-30T11:55:05Z,1785412505919862298,15,5976,5976,5,86,2103,324703587,200,196,196,448255600,358211
16,2026-07-30T11:55:06Z,1785412506953323860,16,5976,5976,5,87,2273,324704372,200,196,196,448255600,358220
17,2026-07-30T11:55:07Z,1785412507987134931,17,6004,6004,5,87,2442,324705166,200,196,196,448255600,358226
18,2026-07-30T11:55:09Z,1785412509017879942,19,6008,6008,5,88,2614,324705953,200,196,196,448255600,358232
19,2026-07-30T11:55:10Z,1785412510048184885,20,6008,6008,5,88,2784,324706740,200,196,196,448255600,358244
20,2026-07-30T11:55:11Z,1785412511081055213,21,6096,6096,5,93,2956,324707525,200,196,196,448255600,358249
21,2026-07-30T11:55:12Z,1785412512113878940,22,6100,6100,5,93,3127,324708317,200,196,196,448255600,358252
22,2026-07-30T11:55:13Z,1785412513146000858,23,6100,6100,5,93,3296,324709090,200,196,196,448255600,358258
23,2026-07-30T11:55:14Z,1785412514176991303,24,6100,6100,5,93,3466,324709879,200,196,196,448255600,358260
24,2026-07-30T11:55:15Z,1785412515210017526,25,6688,6688,5,174,3632,324710675,200,196,196,448255600,358264
