sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
0,2026-07-30T11:38:39Z,1785411519005381630,1,6964,6964,17,38,0,323962379,200,196,196,448255600,353829
1,2026-07-30T11:38:40Z,1785411520042828660,2,7040,7040,17,39,0,323963204,200,196,196,448255600,353829
2,2026-07-30T11:38:41Z,1785411521071211503,3,7472,7472,17,92,32,323964023,200,196,196,448255600,353829
3,2026-07-30T11:38:42Z,1785411522100683837,4,7684,7684,17,98,102,323964818,200,196,196,448255600,353829
4,2026-07-30T11:38:43Z,1785411523133609447,5,11432,11432,17,185,265,323965598,200,196,196,448255600,353835
5,2026-07-30T11:38:44Z,1785411524166192132,6,11756,11756,17,186,451,323966369,200,196,196,448255600,353835
6,2026-07-30T11:38:45Z,1785411525199789253,7,11760,11760,17,187,639,323967141,200,196,196,448255600,353835
7,2026-07-30T11:38:46Z,1785411526233514857,8,11760,11820,17,187,825,323967917,200,196,196,448255600,353835
8,2026-07-30T11:38:47Z,1785411527267515805,9,11804,11760,17,187,1022,323968682,200,196,196,448255600,353835
9,2026-07-30T11:38:48Z,1785411528299751017,10,11760,11760,17,187,1213,323969454,200,196,196,448255600,353835
10,2026-07-30T11:38:49Z,1785411529332262388,11,11760,11760,17,187,1407,323970222,200,196,196,448255600,353835
11,2026-07-30T11:38:50Z,1785411530364257160,12,11760,11760,17,187,1597,323970992,200,196,196,448255600,353835
12,2026-07-30T11:38:51Z,1785411531396745952,13,11760,11760,17,187,1786,323971756,200,196,196,448255600,353835
13,2026-07-30T11:38:52Z,1785411532429325180,14,11760,11760,17,187,1976,323972519,200,196,196,448255600,353835
14,2026-07-30T11:38:53Z,1785411533462580816,15,11796,11760,17,187,2159,323973288,200,196,196,448255600,353835
15,2026-07-30T11:38:54Z,1785411534496642301,16,11760,11760,17,187,2343,323974061,200,196,196,448255600,353836
16,2026-07-30T11:38:55Z,1785411535530438125,17,11760,11788,17,187,2528,323974837,200,196,196,448255600,353836
17,2026-07-30T11:38:56Z,1785411536562455144,18,11760,11760,17,187,2714,323975605,200,196,196,448255600,353836
18,2026-07-30T11:38:57Z,1785411537594643657,19,11760,11760,17,187,2902,323976373,200,196,196,448255600,353836
19,2026-07-30T11:38:58Z,1785411538626876746,20,11760,11760,17,187,3088,323977150,200,196,196,448255600,353836
20,2026-07-30T11:38:59Z,1785411539658653074,21,11772,11772,17,187,3279,323977923,200,196,196,448255600,353836
21,2026-07-30T11:39:00Z,1785411540691586356,22,11772,11772,17,187,3471,323978696,200,196,196,448255600,353836
22,2026-07-30T11:39:01Z,1785411541725527796,23,11772,11772,17,187,3669,323979465,200,196,196,448255600,353836
23,2026-07-30T11:39:02Z,1785411542759981731,24,11772,11772,17,187,3863,323980226,200,196,196,448255600,353836
24,2026-07-30T11:39:03Z,1785411543794325501,25,12104,12104,17,261,4064,323980999,200,196,196,448255600,353836
25,2026-07-30T11:39:04Z,1785411544828517057,26,12104,12160,17,261,4265,323981768,200,196,196,448255600,353836
26,2026-07-30T11:39:05Z,1785411545862742928,27,12104,12104,17,261,4468,323982541,200,196,196,448255600,353836
27,2026-07-30T11:39:06Z,1785411546895968992,28,12104,12104,17,261,4669,323983314,200,196,196,448255600,353836
28,2026-07-30T11:39:07Z,1785411547929496266,29,12104,12104,17,261,4869,323984088,200,196,196,448255600,353838
29,2026-07-30T11:39:08Z,1785411548963517781,30,12104,12104,17,261,5069,323984863,200,196,196,448255600,353838
30,2026-07-30T11:39:09Z,1785411549997588377,31,12104,12104,17,261,5271,323985636,200,196,196,448255600,353838
31,2026-07-30T11:39:11Z,1785411551030911190,33,12104,12128,17,261,5472,323986410,200,196,196,448255600,353838
32,2026-07-30T11:39:12Z,1785411552064329235,34,12104,12104,17,261,5676,323987175,200,196,196,448255600,353838
33,2026-07-30T11:39:13Z,1785411553097276607,35,11732,11948,17,191,5878,323987944,200,196,196,448255600,353838
34,2026-07-30T11:39:14Z,1785411554130295694,36,11732,11948,17,191,6079,323988714,200,196,196,448255600,353838
35,2026-07-30T11:39:15Z,1785411555164409972,37,11732,11948,17,191,6281,323989480,200,196,196,448255600,353838
36,2026-07-30T11:39:16Z,1785411556198324815,38,11732,11948,17,191,6484,323990253,200,196,196,448255600,353838
37,2026-07-30T11:39:17Z,1785411557232581090,39,11756,11948,17,192,6680,323991030,200,196,196,448255600,353838
38,2026-07-30T11:39:18Z,1785411558268470453,40,11756,11948,17,192,6868,323991802,200,196,196,448255600,353838
39,2026-07-30T11:39:19Z,1785411559301674326,41,11756,11948,17,192,7057,323992572,200,196,196,448255600,353838
40,2026-07-30T11:39:20Z,1785411560334201247,42,11756,11948,17,192,7246,323993346,200,196,196,448255600,353838
41,2026-07-30T11:39:21Z,1785411561368249264,43,11756,11948,17,192,7435,323994117,200,196,196,448255600,353838
42,2026-07-30T11:39:22Z,1785411562402520104,44,11756,11948,17,192,7629,323994885,200,196,196,448255600,353838
43,2026-07-30T11:39:23Z,1785411563437831406,45,11808,11948,17,192,7830,323995662,200,196,196,448255600,353838
44,2026-07-30T11:39:24Z,1785411564475042288,46,11756,11948,17,192,8031,323996437,200,196,196,448255600,353838
45,2026-07-30T11:39:25Z,1785411565508636783,47,11756,11948,17,192,8229,323997216,200,196,196,448255600,353838
46,2026-07-30T11:39:26Z,1785411566543714169,48,11800,11948,17,195,8431,323997994,200,196,196,448255600,353838
47,2026-07-30T11:39:27Z,1785411567577190276,49,11800,11948,17,195,8627,323998772,200,196,196,448255600,353838
48,2026-07-30T11:39:28Z,1785411568610303348,50,11800,11948,17,195,8820,323999539,200,196,196,448255600,353838
49,2026-07-30T11:39:29Z,1785411569643614800,51,11800,11948,17,195,9020,324000312,200,196,196,448255600,353839
50,2026-07-30T11:39:30Z,1785411570676746737,52,11800,11948,17,195,9219,324001087,200,196,196,448255600,353839
51,2026-07-30T11:39:31Z,1785411571710998267,53,11800,11948,17,195,9407,324001853,200,196,196,448255600,353839
52,2026-07-30T11:39:32Z,1785411572743188793,54,11800,11948,17,195,9593,324002624,200,196,196,448255600,353839
53,2026-07-30T11:39:33Z,1785411573776971108,55,11524,11948,17,126,9793,324003396,200,196,196,448255600,353839
54,2026-07-30T11:39:34Z,1785411574810524194,56,11524,11948,17,126,9989,324004167,200,196,196,448255600,353839
55,2026-07-30T11:39:35Z,1785411575845824419,57,11528,11948,17,126,10180,324004942,200,196,196,448255600,353839
56,2026-07-30T11:39:36Z,1785411576880243182,58,11524,11948,17,126,10377,324005710,200,196,196,448255600,353839
57,2026-07-30T11:39:37Z,1785411577914820408,59,11524,11948,17,126,10579,324006484,200,196,196,448255600,353839
58,2026-07-30T11:39:38Z,1785411578947928823,60,11524,11948,17,126,10774,324007259,200,196,196,448255600,353839
59,2026-07-30T11:39:39Z,1785411579981128974,61,11524,11948,17,126,10964,324008027,200,196,196,448255600,353839
60,2026-07-30T11:39:41Z,1785411581015437041,63,11524,11948,17,126,11166,324008796,200,196,196,448255600,353839
61,2026-07-30T11:39:42Z,1785411582049336230,64,11524,11948,17,126,11365,324009566,200,196,196,448255600,353839
62,2026-07-30T11:39:43Z,1785411583082643652,65,11524,11948,17,126,11550,324010339,200,196,196,448255600,353839
63,2026-07-30T11:39:44Z,1785411584116404673,66,11524,11948,17,126,11742,324011112,200,196,196,448255600,353839
64,2026-07-30T11:39:45Z,1785411585149472031,67,11524,11948,17,126,11934,324011883,200,196,196,448255600,353839
65,2026-07-30T11:39:46Z,1785411586184756357,68,11524,11948,17,126,12128,324012648,200,196,196,448255600,353840
66,2026-07-30T11:39:47Z,1785411587220275889,69,11524,11948,17,126,12321,324013423,200,196,196,448255600,353840
67,2026-07-30T11:39:48Z,1785411588254433335,70,11524,11948,17,126,12513,324014194,200,196,196,448255600,353840
68,2026-07-30T11:39:49Z,1785411589289579585,71,11836,11948,17,199,12706,324014964,200,196,196,448255600,353841
69,2026-07-30T11:39:50Z,1785411590323581162,72,11884,11948,17,199,12908,324015736,200,196,196,448255600,353841
70,2026-07-30T11:39:51Z,1785411591357610370,73,11836,11948,17,199,13102,324016506,200,196,196,448255600,353841
71,2026-07-30T11:39:52Z,1785411592391652803,74,11836,11948,17,199,13305,324017278,200,196,196,448255600,353841
72,2026-07-30T11:39:53Z,1785411593425004567,75,11876,11948,17,199,13508,324018048,200,196,196,448255600,353841
73,2026-07-30T11:39:54Z,1785411594457741057,76,11860,11948,17,199,13709,324018818,200,196,196,448255600,353841
74,2026-07-30T11:39:55Z,1785411595493442511,77,11836,11948,17,199,13912,324019591,200,196,196,448255600,353841
75,2026-07-30T11:39:56Z,1785411596527646313,78,11808,11948,17,197,14114,324020360,200,196,196,448255600,353842
76,2026-07-30T11:39:57Z,1785411597560729876,79,11808,11948,17,197,14319,324021138,200,196,196,448255600,353844
77,2026-07-30T11:39:58Z,1785411598594513411,80,11808,11948,17,197,14525,324021906,200,196,196,448255600,353844
78,2026-07-30T11:39:59Z,1785411599628316505,81,11872,11948,17,197,14729,324022683,200,196,196,448255600,353844
79,2026-07-30T11:40:00Z,1785411600663948817,82,11872,11948,17,197,14931,324023455,200,196,196,448255600,353846
80,2026-07-30T11:40:01Z,1785411601700426173,83,11808,11948,17,197,15132,324024236,200,196,196,448255600,353846
81,2026-07-30T11:40:02Z,1785411602734838607,84,11856,11948,17,197,15336,324025006,200,196,196,448255600,353846
82,2026-07-30T11:40:03Z,1785411603767527786,85,11808,11948,17,197,15533,324025777,200,196,196,448255600,353846
83,2026-07-30T11:40:04Z,1785411604800904135,86,11808,11948,17,197,15730,324026546,200,196,196,448255600,353846
84,2026-07-30T11:40:05Z,1785411605835818286,87,11808,11948,17,197,15935,324027322,200,196,196,448255600,353846
85,2026-07-30T11:40:06Z,1785411606869998873,88,11808,11948,17,197,16140,324028097,200,196,196,448255600,353847
86,2026-07-30T11:40:07Z,1785411607903331461,89,11836,11948,17,199,16342,324028869,200,196,196,448255600,353847
