sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
0,2026-07-30T11:22:27Z,1785410547680755047,0,4160,4160,5,14,0,323231979,200,196,196,448255598,353814
1,2026-07-30T11:22:28Z,1785410548716739533,1,4192,4192,5,15,0,323232803,200,196,196,448255598,353814
2,2026-07-30T11:22:29Z,1785410549745145473,2,4320,4320,5,34,27,323233622,200,196,196,448255598,353814
3,2026-07-30T11:22:30Z,1785410550775589201,3,4640,4640,5,65,93,323234429,200,196,196,448255598,353814
4,2026-07-30T11:22:31Z,1785410551808361415,4,5588,5588,5,71,243,323235202,200,196,196,448255598,353814
5,2026-07-30T11:22:32Z,1785410552841161833,5,5916,5916,5,72,412,323235967,200,196,196,448255598,353814
6,2026-07-30T11:22:33Z,1785410553873201727,6,5916,5916,5,72,582,323236720,200,196,196,448255598,353814
7,2026-07-30T11:22:34Z,1785410554906183553,7,5916,5916,5,72,757,323237489,200,196,196,448255598,353814
8,2026-07-30T11:22:35Z,1785410555938432076,8,5928,5996,5,73,930,323238264,200,196,196,448255598,353814
9,2026-07-30T11:22:36Z,1785410556969708780,9,5928,5928,5,73,1104,323239036,200,196,196,448255598,353814
10,2026-07-30T11:22:38Z,1785410558002438278,11,5928,5928,5,73,1278,323239811,200,196,196,448255598,353814
11,2026-07-30T11:22:39Z,1785410559033236055,12,5928,5992,5,73,1452,323240589,200,196,196,448255598,353814
12,2026-07-30T11:22:40Z,1785410560065931690,13,5928,5928,5,73,1623,323241349,200,196,196,448255598,353814
13,2026-07-30T11:22:41Z,1785410561099307205,14,5928,5928,5,73,1792,323242120,200,196,196,448255598,353814
14,2026-07-30T11:22:42Z,1785410562132101544,15,5928,5928,5,73,1963,323242878,200,196,196,448255598,353814
15,2026-07-30T11:22:43Z,1785410563165901159,16,5928,5928,5,73,2132,323243634,200,196,196,448255598,353814
16,2026-07-30T11:22:44Z,1785410564198469302,17,5928,5928,5,73,2302,323244404,200,196,196,448255598,353814
17,2026-07-30T11:22:45Z,1785410565233293632,18,5928,5928,5,73,2471,323245169,200,196,196,448255598,353814
18,2026-07-30T11:22:46Z,1785410566266628365,19,5964,5964,5,73,2644,323245939,200,196,196,448255598,353814
19,2026-07-30T11:22:47Z,1785410567299462756,20,5928,5928,5,73,2818,323246701,200,196,196,448255598,353814
20,2026-07-30T11:22:48Z,1785410568330284554,21,5928,5928,5,73,2988,323247468,200,196,196,448255598,353814
21,2026-07-30T11:22:49Z,1785410569361022897,22,5928,5928,5,73,3159,323248235,200,196,196,448255598,353814
22,2026-07-30T11:22:50Z,1785410570392928709,23,5928,5928,5,73,3331,323249013,200,196,196,448255598,353814
23,2026-07-30T11:22:51Z,1785410571423276924,24,5928,5928,5,73,3501,323249793,200,196,196,448255598,353814
24,2026-07-30T11:22:52Z,1785410572454342108,25,6724,6660,5,165,3680,323250573,200,196,196,448255598,353814
25,2026-07-30T11:22:53Z,1785410573488049344,26,6660,6660,5,165,3854,323251346,200,196,196,448255598,353814
26,2026-07-30T11:22:54Z,1785410574520878206,27,6660,6660,5,165,4025,323252116,200,196,196,448255598,353814
27,2026-07-30T11:22:55Z,1785410575553493059,28,6660,6660,5,165,4194,323252879,200,196,196,448255598,353814
28,2026-07-30T11:22:56Z,1785410576585871855,29,6660,6660,5,165,4364,323253649,200,196,196,448255598,353814
29,2026-07-30T11:22:57Z,1785410577618105502,30,6660,6660,5,165,4537,323254425,200,196,196,448255598,353814
30,2026-07-30T11:22:58Z,1785410578650241632,31,6660,6660,5,165,4707,323255186,200,196,196,448255598,353814
31,2026-07-30T11:22:59Z,1785410579681910918,32,6660,6660,5,165,4871,323255941,200,196,196,448255598,353814
32,2026-07-30T11:23:00Z,1785410580714471904,33,6692,6660,5,165,5037,323256698,200,196,196,448255598,353814
33,2026-07-30T11:23:01Z,1785410581747927137,34,6660,6660,5,165,5201,323257454,200,196,196,448255598,353814
34,2026-07-30T11:23:02Z,1785410582779257051,35,6660,6660,5,165,5370,323258216,200,196,196,448255598,353814
35,2026-07-30T11:23:03Z,1785410583810886492,36,6660,6660,5,165,5533,323258967,200,196,196,448255598,353814
36,2026-07-30T11:23:04Z,1785410584843108018,37,6660,6660,5,165,5696,323259719,200,196,196,448255598,353814
37,2026-07-30T11:23:05Z,1785410585875026035,38,6660,6660,5,165,5864,323260492,200,196,196,448255598,353814
38,2026-07-30T11:23:06Z,1785410586907032860,39,6660,6660,5,165,6030,323261254,200,196,196,448255598,353814
39,2026-07-30T11:23:07Z,1785410587940225777,40,6660,6660,5,165,6195,323262012,200,196,196,448255598,353814
40,2026-07-30T11:23:08Z,1785410588972103085,41,6660,6660,5,165,6357,323262757,200,196,196,448255598,353814
41,2026-07-30T11:23:10Z,1785410590005864202,43,6660,6660,5,165,6520,323263518,200,196,196,448255598,353814
42,2026-07-30T11:23:11Z,1785410591038534162,44,6660,6660,5,165,6684,323264276,200,196,196,448255598,353814
43,2026-07-30T11:23:12Z,1785410592071259359,45,6660,6660,5,165,6854,323265041,200,196,196,448255598,353814
44,2026-07-30T11:23:13Z,1785410593101690123,46,6660,6660,5,165,7020,323265804,200,196,196,448255598,353814
45,2026-07-30T11:23:14Z,1785410594134437447,47,6660,6660,5,165,7186,323266558,200,196,196,448255598,353814
46,2026-07-30T11:23:15Z,1785410595167952345,48,6664,6664,5,166,7357,323267323,200,196,196,448255598,353814
47,2026-07-30T11:23:16Z,1785410596201716583,49,6664,6664,5,166,7532,323268101,200,196,196,448255598,353814
48,2026-07-30T11:23:17Z,1785410597234526692,50,6664,6664,5,166,7705,323268872,200,196,196,448255598,353814
49,2026-07-30T11:23:18Z,1785410598265457043,51,6664,6664,5,166,7879,323269642,200,196,196,448255598,353814
50,2026-07-30T11:23:19Z,1785410599297323926,52,6664,6664,5,166,8048,323270411,200,196,196,448255598,353814
51,2026-07-30T11:23:20Z,1785410600327868989,53,6664,6664,5,166,8213,323271171,200,196,196,448255598,353814
52,2026-07-30T11:23:21Z,1785410601360337385,54,6664,6664,5,166,8377,323271931,200,196,196,448255598,353814
53,2026-07-30T11:23:22Z,1785410602392854194,55,6664,6664,5,166,8545,323272701,200,196,196,448255598,353814
54,2026-07-30T11:23:23Z,1785410603424629262,56,6664,6664,5,166,8713,323273465,200,196,196,448255598,353814
55,2026-07-30T11:23:24Z,1785410604456850599,57,6664,6664,5,166,8880,323274218,200,196,196,448255598,353814
56,2026-07-30T11:23:25Z,1785410605488294831,58,6664,6664,5,166,9042,323274979,200,196,196,448255598,353814
57,2026-07-30T11:23:26Z,1785410606520632507,59,6664,6664,5,166,9211,323275730,200,196,196,448255598,353814
58,2026-07-30T11:23:27Z,1785410607552610614,60,6664,6664,5,166,9376,323276488,200,196,196,448255598,353814
59,2026-07-30T11:23:28Z,1785410608583632467,61,6664,6664,5,166,9542,323277250,200,196,196,448255598,353814
60,2026-07-30T11:23:29Z,1785410609615052126,62,6664,6664,5,166,9707,323278018,200,196,196,448255598,353814
61,2026-07-30T11:23:30Z,1785410610649577781,63,6664,6664,5,166,9873,323278785,200,196,196,448255598,353814
62,2026-07-30T11:23:31Z,1785410611681492340,64,6664,6664,5,166,10040,323279545,200,196,196,448255598,353814
63,2026-07-30T11:23:32Z,1785410612712781887,65,6664,6664,5,166,10206,323280310,200,196,196,448255598,353814
64,2026-07-30T11:23:33Z,1785410613744817734,66,6664,6664,5,166,10373,323281069,200,196,196,448255598,353814
65,2026-07-30T11:23:34Z,1785410614776697549,67,6664,6664,5,166,10539,323281827,200,196,196,448255598,353814
66,2026-07-30T11:23:35Z,1785410615808697680,68,6664,6664,5,166,10706,323282594,200,196,196,448255598,353814
67,2026-07-30T11:23:36Z,1785410616841288196,69,6664,6664,5,166,10873,323283358,200,196,196,448255598,353814
68,2026-07-30T11:23:37Z,1785410617876368944,70,6664,6664,5,166,11044,323284127,200,196,196,448255598,353814
69,2026-07-30T11:23:38Z,1785410618907897512,71,6664,6664,5,166,11209,323284905,200,196,196,448255598,353814
70,2026-07-30T11:23:39Z,1785410619938409010,72,6664,6664,5,166,11376,323285678,200,196,196,448255598,353814
71,2026-07-30T11:23:40Z,1785410620968415326,73,6664,6664,5,166,11540,323286449,200,196,196,448255598,353814
72,2026-07-30T11:23:41Z,1785410622001088342,75,6664,6664,5,166,11706,323287209,200,196,196,448255598,353814
73,2026-07-30T11:23:43Z,1785410623032872245,76,6664,6664,5,166,11870,323287978,200,196,196,448255598,353814
74,2026-07-30T11:23:44Z,1785410624066010521,77,6664,6664,5,166,12035,323288739,200,196,196,448255598,353814
75,2026-07-30T11:23:45Z,1785410625098574316,78,6640,6640,5,165,12199,323289504,200,196,196,448255598,353814
76,2026-07-30T11:23:46Z,1785410626130498601,79,6640,6640,5,165,12363,323290268,200,196,196,448255598,353814
77,2026-07-30T11:23:47Z,1785410627165083936,80,6640,6640,5,165,12527,323291040,200,196,196,448255598,353814
78,2026-07-30T11:23:48Z,1785410628196813722,81,6640,6640,5,165,12692,323291808,200,196,196,448255598,353814
79,2026-07-30T11:23:49Z,1785410629227617882,82,6640,6640,5,165,12860,323292567,200,196,196,448255598,353817
80,2026-07-30T11:23:50Z,1785410630259178763,83,6640,6640,5,165,13024,323293337,200,196,196,448255598,353817
81,2026-07-30T11:23:51Z,1785410631291961235,84,6640,6640,5,165,13191,323294108,200,196,196,448255598,353817
82,2026-07-30T11:23:52Z,1785410632324485401,85,6616,6624,5,164,13357,323294869,200,196,196,448255598,353817
83,2026-07-30T11:23:53Z,1785410633356639900,86,6616,6624,5,164,13524,323295636,200,196,196,448255598,353817
84,2026-07-30T11:23:54Z,1785410634388984708,87,6616,6624,5,164,13690,323296404,200,196,196,448255598,353817
85,2026-07-30T11:23:55Z,1785410635419713390,88,6616,6624,5,164,13856,323297165,200,196,196,448255598,353817
86,2026-07-30T11:23:56Z,1785410636453655169,89,6616,6624,5,164,14024,323297933,200,196,196,448255598,353817
87,2026-07-30T11:23:57Z,1785410637486390320,90,6616,6624,5,164,14189,323298696,200,196,196,448255598,353817
88,2026-07-30T11:23:58Z,1785410638517654335,91,6616,6624,5,164,14353,323299463,200,196,196,448255598,353817
89,2026-07-30T11:23:59Z,1785410639549278526,92,6616,6624,5,164,14513,323300215,200,196,196,448255598,353817
90,2026-07-30T11:24:00Z,1785410640582294742,93,6624,6624,5,166,14678,323300980,200,196,196,448255598,353817
91,2026-07-30T11:24:01Z,1785410641614020643,94,6624,6624,5,166,14854,323301754,200,196,196,448255598,353817
92,2026-07-30T11:24:02Z,1785410642645213678,95,6624,6624,5,166,15027,323302531,200,196,196,448255598,353817
93,2026-07-30T11:24:03Z,1785410643677180537,96,6624,6624,5,166,15198,323303300,200,196,196,448255598,353817
94,2026-07-30T11:24:04Z,1785410644708195102,97,6624,6624,5,166,15371,323304072,200,196,196,448255598,353817
95,2026-07-30T11:24:05Z,1785410645740151014,98,6624,6624,5,166,15541,323304840,200,196,196,448255598,353817
96,2026-07-30T11:24:06Z,1785410646772316143,99,6624,6624,5,166,15711,323305614,200,196,196,448255598,353817
97,2026-07-30T11:24:07Z,1785410647804232614,100,6628,6752,5,166,15881,323306386,200,196,196,448255598,353817
98,2026-07-30T11:24:08Z,1785410648836917115,101,6556,6752,5,148,16053,323307154,200,196,196,448255598,353817
99,2026-07-30T11:24:09Z,1785410649868585795,102,6556,6752,5,148,16225,323307926,200,196,196,448255598,353817
100,2026-07-30T11:24:10Z,1785410650901513818,103,6556,6752,5,148,16395,323308699,200,196,196,448255598,353817
101,2026-07-30T11:24:11Z,1785410651932654139,104,6556,6752,5,148,16563,323309463,200,196,196,448255598,353817
102,2026-07-30T11:24:12Z,1785410652964821750,105,6620,6752,5,148,16740,323310228,200,196,196,448255598,353817
103,2026-07-30T11:24:13Z,1785410653997476497,106,6580,6752,5,148,16913,323311001,200,196,196,448255598,353817
104,2026-07-30T11:24:15Z,1785410655028661217,108,6556,6752,5,148,17087,323311779,200,196,196,448255598,353817
105,2026-07-30T11:24:16Z,1785410656062617096,109,6556,6752,5,148,17262,323312556,200,196,196,448255598,353817
106,2026-07-30T11:24:17Z,1785410657094358413,110,6556,6752,5,148,17437,323313336,200,196,196,448255598,353817
107,2026-07-30T11:24:18Z,1785410658126413438,111,6556,6752,5,148,17615,323314116,200,196,196,448255598,353817
108,2026-07-30T11:24:19Z,1785410659158802620,112,6556,6752,5,148,17790,323314891,200,196,196,448255598,353817
109,2026-07-30T11:24:20Z,1785410660190445246,113,6556,6752,5,148,17965,323315670,200,196,196,448255598,353817
110,2026-07-30T11:24:21Z,1785410661223192983,114,6556,6752,5,148,18143,323316444,200,196,196,448255598,353817
