sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,stats_curl_exit,stats_bytes,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
0,2026-08-02T05:44:15Z,1785649455875487959,0,4220,4220,5,14,0,479086,200,0,230,0,0,0,0
1,2026-08-02T05:44:16Z,1785649456904108345,1,4248,4248,5,15,0,479496,200,0,233,0,0,0,0
2,2026-08-02T05:44:17Z,1785649457938165671,2,4280,4280,5,20,2,479903,200,0,236,0,0,0,0
3,2026-08-02T05:44:18Z,1785649458970404783,3,4320,4320,5,21,5,480307,200,0,237,0,0,0,0
4,2026-08-02T05:44:20Z,1785649460005967332,5,4592,4592,5,22,12,480699,200,0,239,0,0,0,0
5,2026-08-02T05:44:21Z,1785649461037122692,6,4984,4984,5,23,16,481092,200,0,240,0,0,0,0
6,2026-08-02T05:44:22Z,1785649462068279064,7,5256,5256,5,25,22,481488,200,0,241,0,0,0,0
7,2026-08-02T05:44:23Z,1785649463100253924,8,5252,5252,5,24,28,481882,200,0,241,0,0,0,0
8,2026-08-02T05:44:24Z,1785649464130053049,9,5232,5232,5,18,32,482278,200,0,241,0,0,0,0
9,2026-08-02T05:44:25Z,1785649465160807649,10,5200,5200,5,16,35,482681,200,0,242,0,0,0,0
10,2026-08-02T05:44:26Z,1785649466190393074,11,4876,4944,5,15,35,483091,200,0,243,0,0,0,0
11,2026-08-02T05:44:27Z,1785649467220636893,12,4872,4944,5,14,35,483503,200,0,243,0,0,0,0
12,2026-08-02T05:44:28Z,1785649468252231703,13,4872,4944,5,14,35,483915,200,0,243,0,0,0,0
13,2026-08-02T05:44:29Z,1785649469281731645,14,4872,4944,5,14,36,484327,200,0,243,0,0,0,0
