cycle,started_utc,ended_utc,health_status,health_transport_errors,health_p99_us,stats_http,stats_curl_exit
1,2026-08-04T04:18:22Z,2026-08-04T04:20:26Z,2400,0,1193,200,0
2,2026-08-04T04:20:31Z,2026-08-04T04:22:36Z,2400,0,1536,200,0
3,2026-08-04T04:22:41Z,2026-08-04T04:24:45Z,2400,0,1685,200,0
4,2026-08-04T04:24:50Z,2026-08-04T04:26:54Z,2400,0,1371,200,0
5,2026-08-04T04:26:59Z,2026-08-04T04:29:04Z,2400,0,1190,200,0
6,2026-08-04T04:29:09Z,2026-08-04T04:31:13Z,2400,0,1526,200,0
7,2026-08-04T04:31:18Z,2026-08-04T04:33:22Z,2400,0,1892,200,0
8,2026-08-04T04:33:27Z,2026-08-04T04:35:32Z,2400,0,1707,200,0
9,2026-08-04T04:35:37Z,2026-08-04T04:37:41Z,2400,0,1449,200,0
10,2026-08-04T04:37:46Z,2026-08-04T04:39:50Z,2400,0,1201,200,0
11,2026-08-04T04:39:55Z,2026-08-04T04:42:00Z,2400,0,1546,200,0
12,2026-08-04T04:42:05Z,2026-08-04T04:44:09Z,2400,0,1795,200,0
13,2026-08-04T04:44:14Z,2026-08-04T04:46:18Z,2400,0,1708,200,0
14,2026-08-04T04:46:23Z,2026-08-04T04:48:27Z,2400,0,1595,200,0
15,2026-08-04T04:48:32Z,2026-08-04T04:50:37Z,2400,0,2105,200,0
