sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,stats_curl_exit,stats_bytes,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
0,2026-08-04T04:18:22Z,1785817102461105597,0,3760,3760,4,10,0,2556761,200,0,364,0,0,108,164
1,2026-08-04T04:18:23Z,1785817103465716766,1,3772,3772,4,11,0,2557564,200,0,365,0,0,108,164
2,2026-08-04T04:18:24Z,1785817104469179513,2,3784,3784,4,13,2,2558364,200,0,369,0,0,108,165
3,2026-08-04T04:18:25Z,1785817105472439444,3,3816,3816,4,14,8,2559165,200,0,371,0,0,108,165
4,2026-08-04T04:18:26Z,1785817106476344184,4,4044,4044,4,15,17,2559962,200,0,372,0,0,108,165
5,2026-08-04T04:18:27Z,1785817107481061356,5,4436,4436,4,16,29,2560760,200,0,373,0,0,108,165
6,2026-08-04T04:18:28Z,1785817108485366574,6,4648,4648,4,19,41,2561556,200,0,373,0,0,108,166
7,2026-08-04T04:18:29Z,1785817109489512155,7,4648,4648,4,19,54,2562352,200,0,373,0,0,108,166
8,2026-08-04T04:18:30Z,1785817110494349618,8,4648,4648,4,19,66,2563146,200,0,373,0,0,108,168
9,2026-08-04T04:18:31Z,1785817111498129549,9,4648,4648,4,19,78,2563941,200,0,375,0,0,108,169
10,2026-08-04T04:18:32Z,1785817112502109412,10,4648,4648,4,19,90,2564735,200,0,375,0,0,108,169
11,2026-08-04T04:18:33Z,1785817113505986443,11,4648,4648,4,19,103,2565530,200,0,375,0,0,108,169
12,2026-08-04T04:18:34Z,1785817114510228912,12,4652,4652,4,19,115,2566324,200,0,375,0,0,108,170
13,2026-08-04T04:18:35Z,1785817115512515567,13,4652,4652,4,19,127,2567117,200,0,375,0,0,108,170
14,2026-08-04T04:18:36Z,1785817116516506034,14,4652,4652,4,19,139,2567913,200,0,376,0,0,108,171
15,2026-08-04T04:18:37Z,1785817117521069839,15,4652,4652,4,19,150,2568708,200,0,376,0,0,108,172
16,2026-08-04T04:18:38Z,1785817118524634564,16,4652,4652,4,19,163,2569502,200,0,376,0,0,108,173
17,2026-08-04T04:18:39Z,1785817119527616114,17,4652,4652,4,19,174,2570296,200,0,376,0,0,108,173
18,2026-08-04T04:18:40Z,1785817120531957802,18,4652,4652,4,19,186,2571093,200,0,376,0,0,108,174
19,2026-08-04T04:18:41Z,1785817121535379164,19,4652,4652,4,19,199,2571888,200,0,376,0,0,108,175
20,2026-08-04T04:18:42Z,1785817122539536121,20,4652,4652,4,19,211,2572682,200,0,376,0,0,108,175
21,2026-08-04T04:18:43Z,1785817123543708943,21,4652,4652,4,19,222,2573477,200,0,376,0,0,108,175
22,2026-08-04T04:18:44Z,1785817124549169012,22,4652,4652,4,19,234,2574274,200,0,376,0,0,108,175
23,2026-08-04T04:18:45Z,1785817125552095509,23,4652,4652,4,19,247,2575066,200,0,376,0,0,108,175
24,2026-08-04T04:18:46Z,1785817126555411385,24,4652,4652,4,19,259,2575863,200,0,376,0,0,108,175
25,2026-08-04T04:18:47Z,1785817127559469945,25,4652,4652,4,19,270,2576660,200,0,376,0,0,108,175
26,2026-08-04T04:18:48Z,1785817128563086504,26,4652,4652,4,19,282,2577455,200,0,376,0,0,108,175
27,2026-08-04T04:18:49Z,1785817129567517269,27,4652,4652,4,19,294,2578255,200,0,376,0,0,108,175
28,2026-08-04T04:18:50Z,1785817130570295093,28,4652,4652,4,19,306,2579049,200,0,376,0,0,108,175
29,2026-08-04T04:18:51Z,1785817131574122482,29,4652,4652,4,19,318,2579842,200,0,376,0,0,108,175
