cycle,started_utc,ended_utc,health_status,health_transport_errors,health_p99_us,stats_http,stats_curl_exit
1,2026-08-04T05:09:55Z,2026-08-04T05:11:59Z,2400,0,1191,200,0
2,2026-08-04T05:12:04Z,2026-08-04T05:14:08Z,2400,0,1197,200,0
3,2026-08-04T05:14:13Z,2026-08-04T05:16:18Z,2400,0,1189,200,0
4,2026-08-04T05:16:23Z,2026-08-04T05:18:27Z,2400,0,1211,200,0
5,2026-08-04T05:18:32Z,2026-08-04T05:20:36Z,2400,0,1404,200,0
6,2026-08-04T05:20:41Z,2026-08-04T05:22:46Z,2400,0,1188,200,0
7,2026-08-04T05:22:51Z,2026-08-04T05:24:55Z,2400,0,1200,200,0
8,2026-08-04T05:25:00Z,2026-08-04T05:27:04Z,2400,0,1192,200,0
9,2026-08-04T05:27:09Z,2026-08-04T05:29:14Z,2400,0,1193,200,0
10,2026-08-04T05:29:19Z,2026-08-04T05:31:23Z,2400,0,1196,200,0
11,2026-08-04T05:31:28Z,2026-08-04T05:33:32Z,2400,0,1206,200,0
12,2026-08-04T05:33:37Z,2026-08-04T05:35:41Z,2400,0,1194,200,0
13,2026-08-04T05:35:47Z,2026-08-04T05:37:51Z,2400,0,1198,200,0
14,2026-08-04T05:37:56Z,2026-08-04T05:40:00Z,2400,0,1196,200,0
15,2026-08-04T05:40:05Z,2026-08-04T05:42:09Z,2400,0,1197,200,0
