sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,stats_curl_exit,stats_bytes,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
0,2026-08-04T05:09:55Z,1785820195131138032,0,3768,3768,4,10,0,5006557,200,0,365,0,0,581,1236
1,2026-08-04T05:09:56Z,1785820196135101386,1,3780,3780,4,11,0,5007359,200,0,366,0,0,581,1236
2,2026-08-04T05:09:57Z,1785820197139447327,2,3788,3788,4,12,1,5008158,200,0,368,0,0,581,1236
3,2026-08-04T05:09:58Z,1785820198142923045,3,3820,3820,4,13,4,5008959,200,0,371,0,0,581,1236
4,2026-08-04T05:09:59Z,1785820199146300944,4,4040,4040,4,14,10,5009751,200,0,373,0,0,581,1236
5,2026-08-04T05:10:00Z,1785820200150745184,5,4432,4432,4,15,17,5010547,200,0,373,0,0,581,1236
6,2026-08-04T05:10:01Z,1785820201154682615,6,4644,4644,4,18,26,5011344,200,0,374,0,0,581,1237
7,2026-08-04T05:10:02Z,1785820202159329210,7,4644,4644,4,18,33,5012138,200,0,374,0,0,581,1237
8,2026-08-04T05:10:03Z,1785820203162310965,8,4644,4644,4,18,40,5012932,200,0,374,0,0,581,1238
9,2026-08-04T05:10:04Z,1785820204166412436,9,4644,4644,4,18,48,5013722,200,0,374,0,0,581,1239
10,2026-08-04T05:10:05Z,1785820205170806269,10,4644,4644,4,18,56,5014520,200,0,374,0,0,581,1240
11,2026-08-04T05:10:06Z,1785820206174826928,11,4644,4644,4,18,64,5015316,200,0,374,0,0,581,1241
12,2026-08-04T05:10:07Z,1785820207178698858,12,4648,4648,4,18,72,5016107,200,0,375,0,0,581,1242
13,2026-08-04T05:10:08Z,1785820208182353483,13,4648,4648,4,18,78,5016906,200,0,376,0,0,581,1243
14,2026-08-04T05:10:09Z,1785820209185895557,14,4648,4648,4,18,86,5017701,200,0,376,0,0,581,1244
15,2026-08-04T05:10:10Z,1785820210189701604,15,4648,4648,4,18,93,5018496,200,0,376,0,0,581,1244
16,2026-08-04T05:10:11Z,1785820211193384844,16,4648,4648,4,18,101,5019291,200,0,376,0,0,581,1245
17,2026-08-04T05:10:12Z,1785820212197157115,17,4648,4648,4,18,107,5020084,200,0,377,0,0,581,1245
18,2026-08-04T05:10:13Z,1785820213200802114,18,4648,4648,4,18,116,5020879,200,0,377,0,0,581,1246
19,2026-08-04T05:10:14Z,1785820214204261202,19,4648,4648,4,18,122,5021674,200,0,377,0,0,581,1247
20,2026-08-04T05:10:15Z,1785820215208138399,20,4648,4648,4,18,130,5022468,200,0,377,0,0,581,1248
21,2026-08-04T05:10:16Z,1785820216211947026,21,4648,4648,4,18,137,5023263,200,0,377,0,0,581,1248
22,2026-08-04T05:10:17Z,1785820217215818607,22,4648,4648,4,18,145,5024059,200,0,377,0,0,581,1249
23,2026-08-04T05:10:18Z,1785820218219357715,23,4648,4648,4,18,152,5024855,200,0,377,0,0,581,1250
24,2026-08-04T05:10:19Z,1785820219222916529,24,4648,4648,4,18,160,5025653,200,0,377,0,0,581,1251
25,2026-08-04T05:10:20Z,1785820220226080504,25,4648,4648,4,18,167,5026443,200,0,377,0,0,581,1252
26,2026-08-04T05:10:21Z,1785820221229960683,26,4648,4648,4,18,175,5027238,200,0,377,0,0,581,1252
27,2026-08-04T05:10:22Z,1785820222233783070,27,4648,4648,4,18,182,5028032,200,0,377,0,0,581,1253
28,2026-08-04T05:10:23Z,1785820223238000820,28,4648,4648,4,18,189,5028827,200,0,377,0,0,581,1253
29,2026-08-04T05:10:24Z,1785820224241838067,29,4648,4648,4,18,196,5029621,200,0,377,0,0,581,1254
30,2026-08-04T05:10:25Z,1785820225245909907,30,4648,4648,4,18,205,5030416,200,0,377,0,0,581,1254
31,2026-08-04T05:10:26Z,1785820226250204802,31,4648,4648,4,18,212,5031214,200,0,377,0,0,581,1255
32,2026-08-04T05:10:27Z,1785820227253568337,32,4648,4648,4,18,220,5032009,200,0,377,0,0,581,1256
33,2026-08-04T05:10:28Z,1785820228257508679,33,4648,4648,4,18,227,5032804,200,0,377,0,0,581,1256
34,2026-08-04T05:10:29Z,1785820229261354862,34,4648,4648,4,18,234,5033598,200,0,377,0,0,581,1257
35,2026-08-04T05:10:30Z,1785820230265392109,35,4648,4648,4,18,242,5034395,200,0,377,0,0,581,1257
36,2026-08-04T05:10:31Z,1785820231269376173,36,4648,4648,4,18,250,5035190,200,0,377,0,0,581,1257
37,2026-08-04T05:10:32Z,1785820232273072553,37,4648,4648,4,18,257,5035984,200,0,377,0,0,581,1258
38,2026-08-04T05:10:33Z,1785820233276626875,38,4648,4648,4,18,264,5036778,200,0,377,0,0,581,1259
39,2026-08-04T05:10:34Z,1785820234280244088,39,4648,4648,4,18,272,5037574,200,0,377,0,0,581,1260
40,2026-08-04T05:10:35Z,1785820235284016734,40,4648,4648,4,18,280,5038366,200,0,377,0,0,581,1260
41,2026-08-04T05:10:36Z,1785820236288260810,41,4648,4648,4,18,287,5039163,200,0,377,0,0,581,1261
42,2026-08-04T05:10:37Z,1785820237290924745,42,4648,4648,4,18,294,5039960,200,0,377,0,0,581,1262
43,2026-08-04T05:10:38Z,1785820238295405352,43,4648,4648,4,18,302,5040753,200,0,377,0,0,581,1262
