sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,stats_curl_exit,stats_bytes,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
0,2026-08-04T05:42:58Z,1785822178635426780,0,3760,3760,4,10,0,6579474,200,0,365,0,0,929,2427
1,2026-08-04T05:42:59Z,1785822179640244041,1,3772,3772,4,11,0,6580276,200,0,366,0,0,929,2427
2,2026-08-04T05:43:00Z,1785822180644388147,2,3780,3780,4,12,2,6581075,200,0,369,0,0,929,2427
3,2026-08-04T05:43:01Z,1785822181648458133,3,3812,3812,4,13,4,6581871,200,0,371,0,0,929,2427
4,2026-08-04T05:43:02Z,1785822182651330903,4,4032,4032,4,14,12,6582660,200,0,373,0,0,929,2427
5,2026-08-04T05:43:03Z,1785822183655344331,5,4424,4424,4,15,19,6583456,200,0,373,0,0,929,2427
6,2026-08-04T05:43:04Z,1785822184660044695,6,4636,4636,4,18,27,6584249,200,0,374,0,0,929,2428
7,2026-08-04T05:43:05Z,1785822185663929494,7,4636,4636,4,18,35,6585045,200,0,374,0,0,929,2429
8,2026-08-04T05:43:06Z,1785822186668370614,8,4636,4636,4,18,43,6585840,200,0,374,0,0,929,2430
9,2026-08-04T05:43:07Z,1785822187671283242,9,4636,4636,4,18,51,6586634,200,0,374,0,0,929,2431
10,2026-08-04T05:43:08Z,1785822188674968310,10,4636,4636,4,18,58,6587430,200,0,374,0,0,929,2432
11,2026-08-04T05:43:09Z,1785822189679030515,11,4636,4636,4,18,66,6588226,200,0,374,0,0,929,2433
12,2026-08-04T05:43:10Z,1785822190682722186,12,4640,4640,4,18,73,6589019,200,0,375,0,0,929,2433
13,2026-08-04T05:43:11Z,1785822191686564967,13,4640,4640,4,18,81,6589816,200,0,376,0,0,929,2434
14,2026-08-04T05:43:12Z,1785822192690036396,14,4640,4640,4,18,89,6590609,200,0,376,0,0,929,2435
15,2026-08-04T05:43:13Z,1785822193694433571,15,4640,4640,4,18,96,6591404,200,0,376,0,0,929,2435
16,2026-08-04T05:43:14Z,1785822194698075476,16,4640,4640,4,18,103,6592198,200,0,376,0,0,929,2436
17,2026-08-04T05:43:15Z,1785822195700798312,17,4640,4640,4,18,112,6592992,200,0,377,0,0,929,2437
18,2026-08-04T05:43:16Z,1785822196704247139,18,4640,4640,4,18,119,6593785,200,0,377,0,0,929,2437
19,2026-08-04T05:43:17Z,1785822197708431392,19,4640,4640,4,18,127,6594580,200,0,377,0,0,929,2437
20,2026-08-04T05:43:18Z,1785822198712106605,20,4640,4640,4,18,134,6595375,200,0,377,0,0,929,2438
21,2026-08-04T05:43:19Z,1785822199715901742,21,4640,4640,4,18,142,6596167,200,0,377,0,0,929,2439
22,2026-08-04T05:43:20Z,1785822200719223471,22,4640,4640,4,18,149,6596962,200,0,377,0,0,929,2439
23,2026-08-04T05:43:21Z,1785822201724035621,23,4640,4640,4,18,156,6597757,200,0,377,0,0,929,2440
24,2026-08-04T05:43:22Z,1785822202728985532,24,4640,4640,4,18,164,6598551,200,0,377,0,0,929,2441
25,2026-08-04T05:43:23Z,1785822203732311694,25,4640,4640,4,18,172,6599346,200,0,377,0,0,929,2441
26,2026-08-04T05:43:24Z,1785822204736147360,26,4640,4640,4,18,179,6600140,200,0,377,0,0,929,2441
27,2026-08-04T05:43:25Z,1785822205739488274,27,4640,4640,4,18,186,6600935,200,0,377,0,0,929,2442
28,2026-08-04T05:43:26Z,1785822206742839125,28,4640,4640,4,18,195,6601730,200,0,377,0,0,929,2442
29,2026-08-04T05:43:27Z,1785822207746373295,29,4640,4640,4,18,201,6602526,200,0,377,0,0,929,2443
30,2026-08-04T05:43:28Z,1785822208749990462,30,4640,4640,4,18,209,6603319,200,0,377,0,0,929,2444
31,2026-08-04T05:43:29Z,1785822209753626276,31,4640,4640,4,18,216,6604113,200,0,377,0,0,929,2445
32,2026-08-04T05:43:30Z,1785822210757917995,32,4640,4640,4,18,224,6604908,200,0,377,0,0,929,2445
33,2026-08-04T05:43:31Z,1785822211761859574,33,4640,4640,4,18,232,6605701,200,0,377,0,0,929,2445
34,2026-08-04T05:43:32Z,1785822212765409483,34,4640,4640,4,18,240,6606493,200,0,377,0,0,929,2446
35,2026-08-04T05:43:33Z,1785822213769277135,35,4640,4640,4,18,247,6607287,200,0,377,0,0,929,2447
36,2026-08-04T05:43:34Z,1785822214774300452,36,4640,4640,4,18,255,6608083,200,0,377,0,0,929,2448
37,2026-08-04T05:43:35Z,1785822215777417655,37,4636,4636,4,17,263,6608877,200,0,377,0,0,929,2449
38,2026-08-04T05:43:36Z,1785822216781061225,38,4636,4636,4,17,269,6609671,200,0,377,0,0,929,2450
39,2026-08-04T05:43:37Z,1785822217785147320,39,4636,4636,4,17,277,6610465,200,0,377,0,0,929,2450
40,2026-08-04T05:43:38Z,1785822218789442999,40,4636,4636,4,17,285,6611259,200,0,377,0,0,929,2451
41,2026-08-04T05:43:39Z,1785822219792290274,41,4636,4636,4,17,292,6612053,200,0,377,0,0,929,2452
42,2026-08-04T05:43:40Z,1785822220796099340,42,4636,4636,4,17,300,6612846,200,0,377,0,0,929,2453
43,2026-08-04T05:43:41Z,1785822221799748991,43,4636,4636,4,17,307,6613642,200,0,377,0,0,929,2454
44,2026-08-04T05:43:42Z,1785822222803195075,44,4636,4636,4,17,315,6614436,200,0,377,0,0,929,2454
45,2026-08-04T05:43:43Z,1785822223808785591,45,4636,4636,4,17,322,6615229,200,0,377,0,0,929,2455
46,2026-08-04T05:43:44Z,1785822224811536466,46,4636,4636,4,17,330,6616021,200,0,377,0,0,929,2455
47,2026-08-04T05:43:45Z,1785822225814592469,47,4636,4636,4,17,338,6616817,200,0,377,0,0,929,2456
48,2026-08-04T05:43:46Z,1785822226817915965,48,4636,4636,4,17,346,6617611,200,0,377,0,0,929,2457
49,2026-08-04T05:43:47Z,1785822227821712012,49,4636,4636,4,17,353,6618405,200,0,377,0,0,929,2458
50,2026-08-04T05:43:48Z,1785822228825799879,50,4636,4636,4,17,361,6619199,200,0,377,0,0,929,2459
51,2026-08-04T05:43:49Z,1785822229829604537,51,4636,4636,4,17,368,6619992,200,0,377,0,0,929,2460
52,2026-08-04T05:43:50Z,1785822230833530729,52,4636,4636,4,17,376,6620786,200,0,377,0,0,929,2461
53,2026-08-04T05:43:51Z,1785822231838038402,53,4636,4636,4,17,384,6621579,200,0,377,0,0,929,2462
54,2026-08-04T05:43:52Z,1785822232840775012,54,4636,4636,4,17,392,6622376,200,0,377,0,0,929,2462
55,2026-08-04T05:43:53Z,1785822233844738005,55,4636,4636,4,17,399,6623172,200,0,377,0,0,929,2462
56,2026-08-04T05:43:54Z,1785822234848439085,56,4636,4636,4,17,407,6623964,200,0,377,0,0,929,2462
57,2026-08-04T05:43:55Z,1785822235852451259,57,4636,4636,4,17,414,6624760,200,0,377,0,0,929,2463
58,2026-08-04T05:43:56Z,1785822236855908530,58,4636,4636,4,17,421,6625553,200,0,377,0,0,929,2464
59,2026-08-04T05:43:57Z,1785822237859795978,59,4636,4636,4,17,428,6626348,200,0,377,0,0,929,2464
60,2026-08-04T05:43:58Z,1785822238863944159,60,4636,4636,4,17,437,6627140,200,0,377,0,0,929,2464
61,2026-08-04T05:43:59Z,1785822239868055574,61,4636,4636,4,17,444,6627934,200,0,377,0,0,929,2465
62,2026-08-04T05:44:00Z,1785822240872312026,62,4636,4636,4,17,451,6628728,200,0,377,0,0,929,2466
63,2026-08-04T05:44:01Z,1785822241876302357,63,4636,4636,4,17,460,6629521,200,0,377,0,0,929,2467
64,2026-08-04T05:44:02Z,1785822242879496708,64,4636,4636,4,17,467,6630314,200,0,377,0,0,929,2467
65,2026-08-04T05:44:03Z,1785822243883794959,65,4636,4636,4,17,475,6631108,200,0,377,0,0,929,2467
66,2026-08-04T05:44:04Z,1785822244886853480,66,4636,4636,4,17,482,6631902,200,0,377,0,0,929,2469
67,2026-08-04T05:44:05Z,1785822245890926131,67,4636,4636,4,17,490,6632694,200,0,377,0,0,929,2469
68,2026-08-04T05:44:06Z,1785822246894631537,68,4636,4636,4,17,498,6633489,200,0,377,0,0,929,2470
69,2026-08-04T05:44:07Z,1785822247898806791,69,4636,4636,4,17,505,6634284,200,0,377,0,0,929,2471
70,2026-08-04T05:44:08Z,1785822248902528375,70,4636,4636,4,17,512,6635078,200,0,377,0,0,929,2471
71,2026-08-04T05:44:09Z,1785822249906440512,71,4636,4636,4,17,520,6635872,200,0,377,0,0,929,2471
72,2026-08-04T05:44:10Z,1785822250910561540,72,4636,4636,4,17,527,6636667,200,0,377,0,0,929,2472
73,2026-08-04T05:44:11Z,1785822251914410660,73,4636,4636,4,17,535,6637460,200,0,377,0,0,929,2473
74,2026-08-04T05:44:12Z,1785822252918427815,74,4636,4636,4,17,543,6638253,200,0,377,0,0,929,2474
75,2026-08-04T05:44:13Z,1785822253922058685,75,4636,4636,4,17,550,6639046,200,0,377,0,0,929,2475
76,2026-08-04T05:44:14Z,1785822254926487798,76,4636,4636,4,17,558,6639840,200,0,377,0,0,929,2477
77,2026-08-04T05:44:15Z,1785822255929551790,77,4636,4636,4,17,565,6640635,200,0,377,0,0,929,2479
78,2026-08-04T05:44:16Z,1785822256933365706,78,4636,4636,4,17,573,6641429,200,0,377,0,0,929,2481
79,2026-08-04T05:44:17Z,1785822257937437494,79,4636,4636,4,17,580,6642225,200,0,377,0,0,929,2482
80,2026-08-04T05:44:18Z,1785822258941718668,80,4636,4636,4,17,588,6643022,200,0,377,0,0,929,2482
81,2026-08-04T05:44:19Z,1785822259944167102,81,4636,4636,4,17,596,6643816,200,0,377,0,0,929,2483
82,2026-08-04T05:44:20Z,1785822260948130229,82,4636,4636,4,17,603,6644609,200,0,377,0,0,929,2484
83,2026-08-04T05:44:21Z,1785822261951733995,83,4636,4636,4,17,611,6645403,200,0,377,0,0,929,2484
84,2026-08-04T05:44:22Z,1785822262955424052,84,4636,4636,4,17,618,6646196,200,0,377,0,0,929,2484
85,2026-08-04T05:44:23Z,1785822263959409942,85,4636,4636,4,17,626,6646988,200,0,377,0,0,929,2484
86,2026-08-04T05:44:24Z,1785822264963848805,86,4636,4636,4,17,634,6647783,200,0,378,0,0,929,2486
87,2026-08-04T05:44:25Z,1785822265966642881,87,4636,4636,4,17,641,6648575,200,0,378,0,0,929,2486
88,2026-08-04T05:44:26Z,1785822266970059244,88,4636,4636,4,17,649,6649368,200,0,378,0,0,929,2487
89,2026-08-04T05:44:27Z,1785822267973722534,89,4636,4636,4,17,657,6650161,200,0,378,0,0,929,2487
90,2026-08-04T05:44:28Z,1785822268977436154,90,4636,4636,4,17,663,6650955,200,0,378,0,0,929,2488
91,2026-08-04T05:44:29Z,1785822269981481640,91,4636,4636,4,17,672,6651748,200,0,378,0,0,929,2489
92,2026-08-04T05:44:30Z,1785822270985344529,92,4636,4636,4,17,679,6652542,200,0,378,0,0,929,2490
93,2026-08-04T05:44:31Z,1785822271989937007,93,4636,4636,4,17,687,6653335,200,0,378,0,0,929,2491
94,2026-08-04T05:44:32Z,1785822272992982748,94,4636,4636,4,17,695,6654129,200,0,378,0,0,929,2492
95,2026-08-04T05:44:33Z,1785822273997063254,95,4636,4636,4,17,701,6654923,200,0,378,0,0,929,2492
96,2026-08-04T05:44:35Z,1785822275000967197,97,4636,4636,4,17,710,6655718,200,0,378,0,0,929,2493
97,2026-08-04T05:44:36Z,1785822276004970418,98,4636,4636,4,17,717,6656510,200,0,378,0,0,929,2495
98,2026-08-04T05:44:37Z,1785822277008634407,99,4636,4636,4,17,725,6657307,200,0,378,0,0,929,2496
99,2026-08-04T05:44:38Z,1785822278012474586,100,4636,4636,4,17,732,6658100,200,0,378,0,0,929,2496
100,2026-08-04T05:44:39Z,1785822279016279649,101,4636,4636,4,17,740,6658894,200,0,378,0,0,929,2497
101,2026-08-04T05:44:40Z,1785822280020673125,102,4636,4636,4,17,747,6659685,200,0,378,0,0,929,2497
