sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,stats_curl_exit,stats_bytes,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
0,2026-08-04T03:53:15Z,1785815595803476028,0,3772,3772,4,10,0,1357304,200,0,364,0,0,3,17
1,2026-08-04T03:53:16Z,1785815596806506773,1,3784,3784,4,11,0,1358105,200,0,365,0,0,3,17
2,2026-08-04T03:53:17Z,1785815597810269429,2,3796,3796,4,13,3,1358900,200,0,369,0,0,3,17
3,2026-08-04T03:53:18Z,1785815598814154656,3,3828,3828,4,14,7,1359694,200,0,371,0,0,3,17
4,2026-08-04T03:53:19Z,1785815599818597606,4,4052,4052,4,15,18,1360484,200,0,372,0,0,3,17
5,2026-08-04T03:53:20Z,1785815600822000099,5,4444,4444,4,16,29,1361272,200,0,373,0,0,3,17
6,2026-08-04T03:53:21Z,1785815601826018210,6,4656,4656,4,19,41,1362063,200,0,373,0,0,3,18
7,2026-08-04T03:53:22Z,1785815602830408971,7,4656,4656,4,19,53,1362849,200,0,373,0,0,3,19
8,2026-08-04T03:53:23Z,1785815603833702546,8,4656,4656,4,19,66,1363636,200,0,373,0,0,3,20
9,2026-08-04T03:53:24Z,1785815604838228989,9,4656,4656,4,19,77,1364424,200,0,375,0,0,3,20
10,2026-08-04T03:53:25Z,1785815605841632511,10,4656,4656,4,19,89,1365213,200,0,375,0,0,3,21
11,2026-08-04T03:53:26Z,1785815606846827849,11,4656,4656,4,19,101,1366002,200,0,375,0,0,3,21
12,2026-08-04T03:53:27Z,1785815607850181658,12,4660,4660,4,19,113,1366791,200,0,375,0,0,3,21
13,2026-08-04T03:53:28Z,1785815608854897092,13,4660,4660,4,19,125,1367583,200,0,375,0,0,3,21
14,2026-08-04T03:53:29Z,1785815609858781034,14,4660,4660,4,19,137,1368370,200,0,376,0,0,3,21
15,2026-08-04T03:53:30Z,1785815610862663342,15,4660,4660,4,19,149,1369160,200,0,376,0,0,3,21
16,2026-08-04T03:53:31Z,1785815611866802417,16,4660,4660,4,19,161,1369946,200,0,376,0,0,3,21
17,2026-08-04T03:53:32Z,1785815612870732446,17,4660,4660,4,19,173,1370733,200,0,376,0,0,3,21
18,2026-08-04T03:53:33Z,1785815613874198494,18,4660,4660,4,19,186,1371521,200,0,376,0,0,3,21
19,2026-08-04T03:53:34Z,1785815614878136042,19,4660,4660,4,19,197,1372308,200,0,376,0,0,3,21
20,2026-08-04T03:53:35Z,1785815615881585513,20,4660,4660,4,19,209,1373096,200,0,376,0,0,3,21
21,2026-08-04T03:53:36Z,1785815616885628788,21,4660,4660,4,19,220,1373885,200,0,376,0,0,3,21
22,2026-08-04T03:53:37Z,1785815617889453496,22,4660,4660,4,19,233,1374672,200,0,376,0,0,3,21
23,2026-08-04T03:53:38Z,1785815618893351769,23,4660,4660,4,19,245,1375460,200,0,376,0,0,3,21
24,2026-08-04T03:53:39Z,1785815619896867117,24,4660,4660,4,19,256,1376251,200,0,376,0,0,3,21
25,2026-08-04T03:53:40Z,1785815620900918853,25,4660,4660,4,19,269,1377038,200,0,376,0,0,3,21
26,2026-08-04T03:53:41Z,1785815621905158531,26,4660,4660,4,19,281,1377828,200,0,376,0,0,3,21
27,2026-08-04T03:53:42Z,1785815622908757810,27,4660,4660,4,19,293,1378616,200,0,376,0,0,3,21
