sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,stats_curl_exit,stats_bytes,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
0,2026-08-04T04:56:40Z,1785819400775710249,0,3760,3760,4,10,0,4375584,200,0,365,0,0,461,823
1,2026-08-04T04:56:41Z,1785819401780341975,1,3772,3772,4,11,0,4376386,200,0,366,0,0,461,823
2,2026-08-04T04:56:42Z,1785819402783870176,2,3780,3780,4,12,1,4377184,200,0,368,0,0,461,823
3,2026-08-04T04:56:43Z,1785819403787353347,3,3812,3812,4,13,4,4377982,200,0,371,0,0,461,823
4,2026-08-04T04:56:44Z,1785819404792034228,4,4032,4032,4,14,10,4378774,200,0,373,0,0,461,823
5,2026-08-04T04:56:45Z,1785819405795381196,5,4424,4424,4,15,18,4379565,200,0,373,0,0,461,823
6,2026-08-04T04:56:46Z,1785819406799427291,6,4636,4636,4,18,26,4380360,200,0,374,0,0,461,824
7,2026-08-04T04:56:47Z,1785819407804086499,7,4636,4636,4,18,33,4381154,200,0,374,0,0,461,825
8,2026-08-04T04:56:48Z,1785819408807184363,8,4636,4636,4,18,40,4381949,200,0,374,0,0,461,826
9,2026-08-04T04:56:49Z,1785819409811210532,9,4636,4636,4,18,47,4382744,200,0,374,0,0,461,827
10,2026-08-04T04:56:50Z,1785819410815072015,10,4636,4636,4,18,55,4383542,200,0,374,0,0,461,828
11,2026-08-04T04:56:51Z,1785819411819161997,11,4636,4636,4,18,63,4384337,200,0,374,0,0,461,829
12,2026-08-04T04:56:52Z,1785819412823199595,12,4640,4640,4,18,70,4385131,200,0,375,0,0,461,830
13,2026-08-04T04:56:53Z,1785819413826973958,13,4640,4640,4,18,78,4385927,200,0,376,0,0,461,831
14,2026-08-04T04:56:54Z,1785819414830846035,14,4640,4640,4,18,85,4386722,200,0,376,0,0,461,832
15,2026-08-04T04:56:55Z,1785819415834720479,15,4640,4640,4,18,92,4387519,200,0,376,0,0,461,833
16,2026-08-04T04:56:56Z,1785819416838625544,16,4640,4640,4,18,99,4388316,200,0,376,0,0,461,833
17,2026-08-04T04:56:57Z,1785819417842228440,17,4640,4640,4,18,106,4389112,200,0,377,0,0,461,833
18,2026-08-04T04:56:58Z,1785819418846349430,18,4640,4640,4,18,114,4389904,200,0,377,0,0,461,833
19,2026-08-04T04:56:59Z,1785819419850699435,19,4640,4640,4,18,122,4390700,200,0,377,0,0,461,834
20,2026-08-04T04:57:00Z,1785819420854422109,20,4640,4640,4,18,129,4391497,200,0,377,0,0,461,835
21,2026-08-04T04:57:01Z,1785819421858162380,21,4640,4640,4,18,137,4392292,200,0,377,0,0,461,836
22,2026-08-04T04:57:02Z,1785819422861678324,22,4640,4640,4,18,145,4393086,200,0,377,0,0,461,837
23,2026-08-04T04:57:03Z,1785819423865327054,23,4640,4640,4,18,152,4393883,200,0,377,0,0,461,838
24,2026-08-04T04:57:04Z,1785819424869026538,24,4640,4640,4,18,160,4394680,200,0,377,0,0,461,838
25,2026-08-04T04:57:05Z,1785819425871979402,25,4640,4640,4,18,167,4395474,200,0,377,0,0,461,839
26,2026-08-04T04:57:06Z,1785819426875982565,26,4640,4640,4,18,174,4396273,200,0,377,0,0,461,840
27,2026-08-04T04:57:07Z,1785819427880149613,27,4640,4640,4,18,182,4397067,200,0,377,0,0,461,841
28,2026-08-04T04:57:08Z,1785819428884323260,28,4640,4640,4,18,190,4397862,200,0,377,0,0,461,841
29,2026-08-04T04:57:09Z,1785819429888382853,29,4640,4640,4,18,198,4398660,200,0,377,0,0,461,841
30,2026-08-04T04:57:10Z,1785819430892230570,30,4640,4640,4,18,205,4399457,200,0,377,0,0,461,842
31,2026-08-04T04:57:11Z,1785819431896186319,31,4640,4640,4,18,212,4400254,200,0,377,0,0,461,843
32,2026-08-04T04:57:12Z,1785819432900456222,32,4640,4640,4,18,220,4401047,200,0,377,0,0,461,843
33,2026-08-04T04:57:13Z,1785819433904622623,33,4640,4640,4,18,227,4401844,200,0,377,0,0,461,843
34,2026-08-04T04:57:14Z,1785819434908774641,34,4640,4640,4,18,234,4402640,200,0,377,0,0,461,844
35,2026-08-04T04:57:15Z,1785819435912736120,35,4640,4640,4,18,242,4403436,200,0,377,0,0,461,845
36,2026-08-04T04:57:16Z,1785819436916620753,36,4640,4640,4,18,250,4404232,200,0,377,0,0,461,846
37,2026-08-04T04:57:17Z,1785819437920625421,37,4640,4640,4,18,257,4405027,200,0,377,0,0,461,846
38,2026-08-04T04:57:18Z,1785819438924453055,38,4640,4640,4,18,265,4405821,200,0,377,0,0,461,846
39,2026-08-04T04:57:19Z,1785819439928365150,39,4636,4636,4,17,272,4406619,200,0,377,0,0,461,847
40,2026-08-04T04:57:20Z,1785819440931913894,40,4636,4636,4,17,279,4407416,200,0,377,0,0,461,847
41,2026-08-04T04:57:21Z,1785819441935901692,41,4636,4636,4,17,287,4408210,200,0,377,0,0,461,847
42,2026-08-04T04:57:22Z,1785819442939629467,42,4636,4636,4,17,293,4409006,200,0,377,0,0,461,847
