cycle,started_utc,ended_utc,health_status,health_transport_errors,health_p99_us,stats_http,stats_curl_exit
1,2026-08-05T07:43:04Z,2026-08-05T07:45:08Z,2400,0,1164,200,0
2,2026-08-05T07:45:13Z,2026-08-05T07:47:17Z,2400,0,1176,200,0
3,2026-08-05T07:47:22Z,2026-08-05T07:49:27Z,2400,0,1166,200,0
4,2026-08-05T07:49:32Z,2026-08-05T07:51:36Z,2400,0,1162,200,0
5,2026-08-05T07:51:41Z,2026-08-05T07:53:45Z,2400,0,1171,200,0
6,2026-08-05T07:53:50Z,2026-08-05T07:55:55Z,2400,0,1162,200,0
7,2026-08-05T07:56:00Z,2026-08-05T07:58:04Z,2400,0,1162,200,0
8,2026-08-05T07:58:09Z,2026-08-05T08:00:13Z,2400,0,1170,200,0
9,2026-08-05T08:00:18Z,2026-08-05T08:02:23Z,2400,0,1167,200,0
10,2026-08-05T08:02:28Z,2026-08-05T08:04:32Z,2400,0,1158,200,0
11,2026-08-05T08:04:37Z,2026-08-05T08:06:41Z,2400,0,1165,200,0
12,2026-08-05T08:06:46Z,2026-08-05T08:08:51Z,2400,0,1170,200,0
13,2026-08-05T08:08:56Z,2026-08-05T08:11:00Z,2400,0,1165,200,0
14,2026-08-05T08:11:05Z,2026-08-05T08:13:09Z,2400,0,1161,200,0
15,2026-08-05T08:13:14Z,2026-08-05T08:15:19Z,2400,0,1161,200,0
