sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,stats_curl_exit,stats_bytes,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
0,2026-08-02T00:00:00Z,1785000000000000000,0,4096,4200,5,14,0,0,200,0,412,0,0,0,0
1,2026-08-02T00:00:01Z,1785000001000000000,1,4096,4200,5,14,1,4,200,0,412,0,0,0,0
2,2026-08-02T00:00:02Z,1785000002000000000,2,4096,4200,5,14,2,8,200,0,412,0,0,0,0
3,2026-08-02T00:00:03Z,1785000003000000000,3,4096,4200,5,14,3,12,200,0,412,0,0,0,0
4,2026-08-02T00:00:04Z,1785000004000000000,4,4096,4200,5,14,4,16,200,0,412,0,0,0,0
5,2026-08-02T00:00:05Z,1785000005000000000,5,4096,4200,5,14,5,20,200,0,412,0,0,0,0
6,2026-08-02T00:00:06Z,1785000006000000000,6,4096,4200,5,14,6,24,200,0,412,0,9000,0,0
7,2026-08-02T00:00:07Z,1785000007000000000,7,4096,4200,5,14,7,28,200,0,412,0,9000,0,0
8,2026-08-02T00:00:08Z,1785000008000000000,8,4096,4200,5,14,8,32,200,0,412,0,9000,0,0
9,2026-08-02T00:00:09Z,1785000009000000000,9,4096,4200,5,14,9,36,200,0,412,0,9000,0,0
10,2026-08-02T00:00:10Z,1785000010000000000,10,4096,4200,5,14,10,40,200,0,412,0,9000,0,0
11,2026-08-02T00:00:11Z,1785000011000000000,11,4096,4200,5,14,11,44,200,0,412,0,9000,0,0
